X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
7,2,sep,thu,90.8,50.0,131.3,7.1,19.5,44,5.2,0.0,67.37
6,4,jun,sat,89.4,38.3,550.5,7.1,20.8,76,4.0,0.0,3.78
4,4,aug,sun,91.3,1.1,540.9,0.5,25.3,53,6.3,0.0,8.7
6,4,sep,fri,93.9,47.0,753.0,7.5,22.0,35,6.7,0.0,8.82
3,4,aug,thu,94.8,103.9,177.6,5.5,28.9,24,5.8,0.0,6.72
2,4,feb,fri,91.3,47.6,572.7,11.6,21.0,38,5.4,0.0,10.71
3,4,sep,sat,94.0,1.1,598.0,2.2,21.2,47,6.8,0.0,0.0
7,2,aug,fri,91.3,34.4,539.3,5.2,11.8,39,4.0,0.0,10.53
7,5,mar,sun,90.3,31.0,66.8,7.2,14.8,45,6.6,0.0,0.0
7,2,sep,tue,92.4,55.9,7.9,6.5,28.3,43,6.9,0.0,0.5
2,2,mar,sun,91.3,37.6,7.9,4.3,22.0,36,7.1,0.0,7.38
4,5,mar,sat,82.7,48.2,537.6,6.8,21.4,54,5.7,0.0,0.0
5,4,apr,sat,92.2,93.1,7.9,3.3,20.6,33,5.9,0.0,2.22
5,5,feb,mon,93.3,132.4,503.5,7.5,22.9,47,6.1,0.0,0.0
5,4,sep,sun,92.9,1.1,424.9,5.7,20.9,43,9.4,0.0,4.13
3,3,sep,tue,92.0,1.1,761.7,0.0,25.3,32,5.9,0.0,0.0
3,2,sep,sun,94.1,87.6,7.9,6.4,25.9,28,5.6,0.0,9.6
7,3,aug,sun,91.6,133.9,697.7,5.2,18.2,30,6.9,0.0,8.82
4,4,aug,fri,92.1,52.3,338.6,5.7,26.5,37,6.4,0.0,2.15
5,2,sep,tue,94.0,1.1,414.2,6.5,29.7,35,0.8,0.0,0.0
6,4,aug,sun,90.4,69.0,270.7,7.9,20.1,28,6.1,0.0,11.53
4,4,aug,mon,91.9,101.6,59.0,6.1,7.3,28,6.1,0.0,0.0
5,4,aug,wed,94.1,95.0,621.2,4.4,27.4,35,5.9,0.0,11.12
4,5,jul,sat,92.0,1.1,564.4,7.9,25.1,25,3.5,0.0,1.35
6,4,aug,tue,95.1,1.1,708.7,6.1,29.3,49,5.6,0.0,11.64
4,5,apr,sat,91.1,63.3,559.2,5.7,16.5,25,5.1,0.0,14.04
4,2,feb,wed,92.4,1.1,7.9,6.8,24.9,25,6.3,0.0,0.0
5,2,nov,sat,92.9,45.0,617.9,4.5,33.3,70,7.8,0.0,21.86
4,4,sep,sat,91.4,160.0,239.7,6.4,14.1,49,7.4,0.0,13.53
6,4,sep,sun,83.2,51.8,360.6,7.5,21.4,37,4.1,0.0,4.07
2,4,sep,sun,94.1,98.3,72.7,5.5,22.3,41,3.7,0.0,7.02
3,4,jul,sun,90.4,12.7,605.2,8.2,12.8,23,4.7,0.0,15.9
4,4,sep,wed,94.5,134.2,7.9,6.3,9.6,50,5.7,0.0,0.73
4,4,sep,mon,93.0,91.7,382.0,8.0,21.8,44,6.3,0.0,8.36
8,6,aug,thu,91.0,68.6,293.1,4.8,22.7,36,2.9,0.0,0.0
4,5,jun,mon,92.6,85.7,7.9,8.1,12.5,36,6.6,0.0,0.0
5,5,oct,sun,90.9,161.5,600.4,8.8,27.0,24,5.7,0.0,0.0
4,4,jan,fri,83.2,1.1,42.8,7.6,18.6,35,5.2,0.0,0.0
4,5,aug,thu,91.9,32.7,539.9,7.9,26.7,15,5.4,0.0,0.0
4,4,sep,mon,92.5,100.0,317.5,4.3,23.3,50,5.0,0.0,5.22
4,4,jul,sat,91.1,36.5,269.9,6.0,25.4,62,4.1,0.0,5.48
5,5,mar,sat,92.1,38.8,574.0,9.6,20.7,19,5.8,0.0,5.33
4,5,mar,tue,90.0,43.9,33.8,8.8,18.9,41,6.3,0.0,14.37
4,5,aug,mon,88.0,5.0,45.1,5.1,16.5,49,9.4,0.0,3.26
2,5,jun,mon,91.3,107.1,698.7,7.1,21.5,48,4.5,0.0,3.07
6,4,jun,thu,90.2,114.7,615.1,5.1,21.0,52,5.2,0.0,16.1
4,4,aug,thu,91.8,112.8,469.1,6.0,27.7,26,4.7,0.0,0.0
4,4,aug,sun,94.9,81.3,720.4,8.3,18.9,18,4.9,0.0,0.0
3,9,sep,mon,91.7,171.9,635.6,6.5,30.9,27,3.7,0.0,0.0
4,5,dec,tue,95.7,1.1,629.1,16.5,16.8,41,6.9,0.0,8.73
4,4,aug,mon,90.0,1.1,78.3,5.5,22.5,28,3.8,0.0,0.0
3,5,aug,tue,91.8,35.9,573.9,7.8,20.7,68,3.9,0.0,20.81
5,5,aug,sat,92.8,179.6,746.2,9.2,18.8,22,3.0,0.0,0.07
4,4,sep,sat,92.4,84.9,570.5,9.0,19.0,35,4.6,0.0,0.0
3,5,aug,mon,91.4,18.6,590.2,9.0,27.4,35,6.7,0.0,0.0
5,5,aug,wed,90.2,112.3,638.1,6.4,22.9,49,8.1,0.0,0.0
8,5,aug,wed,85.5,23.1,489.4,4.2,23.2,44,4.4,0.0,4.82
6,4,sep,sun,94.8,118.5,572.8,7.9,32.1,48,5.5,0.0,0.0
9,4,nov,sat,94.2,86.4,394.4,6.5,32.4,52,2.7,0.0,0.0
8,4,sep,thu,90.1,80.4,361.1,4.4,31.9,39,2.5,0.0,0.0
2,4,jun,mon,82.6,72.4,415.3,7.7,25.9,33,4.0,0.0,5.3
5,4,aug,fri,91.4,53.2,611.8,8.4,26.7,26,6.0,0.0,1090.84
2,6,aug,wed,86.2,35.2,91.0,4.2,29.3,22,3.4,0.0,0.08
4,4,aug,sat,91.7,40.0,353.7,5.3,16.0,81,4.6,0.0,54.88
4,3,mar,sun,95.5,59.6,667.8,5.3,25.3,47,7.1,0.0,16.25
2,3,sep,sun,92.8,46.9,506.7,7.0,21.6,45,4.9,0.0,34.72
1,2,feb,sun,92.1,47.5,40.2,3.1,12.8,43,6.5,0.0,12.43
7,3,apr,mon,91.8,92.3,439.7,4.7,19.9,27,5.6,0.0,0.74
5,6,sep,sun,92.2,1.1,495.3,6.0,20.1,28,5.9,0.0,0.0
4,4,sep,sat,92.6,1.1,770.9,0.0,23.5,22,5.8,0.0,8.45
4,4,apr,sun,95.2,125.0,542.0,8.4,24.0,36,7.0,0.0,80.19
4,4,aug,fri,83.2,56.7,41.0,5.8,16.7,34,6.4,0.0,11.07
4,5,sep,sat,91.9,1.1,63.0,6.0,25.4,36,2.0,0.0,0.0
5,5,aug,thu,92.7,174.5,7.9,6.6,24.8,51,3.7,0.0,0.97
2,5,aug,wed,92.5,76.0,164.6,5.8,15.0,34,5.5,0.0,12.03
4,5,sep,sat,90.6,1.1,591.1,3.5,18.8,53,9.4,0.0,12.48
4,5,may,sat,89.7,1.1,113.8,13.1,21.7,83,5.0,0.0,12.34
4,4,dec,sun,81.5,41.6,236.9,12.0,18.6,26,5.6,0.0,5.16
4,4,aug,mon,92.9,138.1,272.9,1.8,20.6,61,7.8,0.0,0.0
3,4,sep,sun,95.3,47.6,556.8,5.6,25.6,38,6.0,0.0,4.06
5,3,aug,sun,95.0,1.1,568.1,6.4,24.3,40,5.2,0.0,0.0
4,4,sep,wed,92.0,52.5,685.4,11.1,16.3,26,5.1,0.0,1.81
4,5,aug,thu,92.9,178.9,546.6,16.3,19.7,36,9.0,0.0,0.0
3,6,aug,sat,94.3,97.0,7.9,0.6,23.3,30,6.3,0.0,6.88
7,3,sep,sat,90.9,1.1,406.1,11.0,13.8,44,6.2,0.0,13.01
4,5,sep,mon,90.8,57.9,124.9,8.0,20.3,66,6.0,0.0,5.07
4,4,feb,sun,89.3,54.9,535.2,5.4,21.3,30,6.7,0.0,9.82
4,4,aug,tue,91.5,157.3,386.4,5.0,18.5,32,5.2,0.0,0.0
4,4,aug,tue,89.0,67.3,578.0,7.0,30.4,42,3.0,0.0,7.38
4,4,aug,thu,92.9,153.4,600.6,7.4,21.9,72,6.6,0.0,1.06
5,4,aug,sun,92.0,111.7,757.3,5.5,27.9,59,6.0,0.0,1.7
4,2,feb,mon,90.5,47.4,552.5,5.4,22.7,50,8.1,0.0,0.0
4,3,sep,thu,91.2,117.6,795.3,8.6,23.6,67,4.5,0.0,1.71
3,4,aug,sun,92.0,142.7,212.7,12.2,22.5,29,6.6,0.0,10.65
4,5,oct,fri,91.1,14.7,611.2,6.2,15.0,71,6.6,0.0,0.0
1,3,sep,sat,92.3,131.9,254.2,5.2,29.1,53,7.0,0.0,0.0
2,5,sep,sat,90.4,73.0,721.3,7.3,16.9,27,6.2,0.0,1.42
4,5,sep,wed,86.6,32.0,287.2,7.8,18.9,36,6.7,0.0,12.48
4,4,sep,sun,93.1,87.7,488.3,8.9,17.9,38,4.6,0.0,15.17
6,4,jan,sat,91.9,94.5,332.8,8.7,12.7,64,4.6,0.0,4.39
4,4,sep,tue,94.3,212.2,629.5,7.2,26.8,45,4.9,0.0,0.0
4,4,sep,mon,91.5,25.1,745.2,16.9,17.8,32,9.1,0.0,58.81
4,5,aug,sat,90.4,80.1,289.2,18.7,26.0,28,4.4,0.0,0.0
7,4,jul,sun,93.1,169.4,687.4,5.4,24.8,39,7.7,0.0,6.8
4,4,mar,mon,94.0,44.4,729.4,3.9,15.5,31,3.2,0.0,6.57
5,4,jul,tue,93.4,24.0,7.9,11.5,21.0,51,2.8,0.0,0.89
3,4,aug,fri,52.6,1.1,543.9,6.3,16.2,37,3.8,0.0,0.0
6,3,sep,sun,92.2,78.8,255.2,5.9,17.6,58,5.6,0.0,9.07
5,4,dec,tue,93.3,170.5,692.4,0.1,18.8,25,6.5,0.0,0.0
7,5,sep,wed,90.6,73.7,637.8,5.2,18.7,43,6.6,0.0,3.19
4,4,aug,fri,89.7,100.0,82.1,1.1,20.9,43,2.5,0.0,11.22
4,4,feb,sat,94.7,82.1,561.8,11.3,23.4,32,4.6,0.0,0.02
3,3,sep,tue,90.0,19.6,540.7,2.3,16.0,32,6.9,0.0,0.0
5,4,sep,fri,92.4,85.1,285.3,6.8,21.4,29,4.3,0.0,1.28
4,6,mar,thu,95.1,21.2,182.7,8.6,19.0,52,5.9,0.0,0.0
4,2,aug,tue,91.8,123.3,673.2,5.8,24.8,30,5.1,0.0,3.28
4,4,aug,sun,89.0,69.5,796.9,5.6,18.2,43,5.1,0.0,366.45
7,4,aug,fri,93.2,263.4,634.3,8.4,24.7,38,6.9,0.0,7.11
4,4,mar,fri,91.6,132.1,700.4,5.0,24.3,41,5.8,0.0,0.0
4,5,sep,tue,95.7,110.8,319.2,12.6,20.7,28,6.7,0.0,0.0
2,6,sep,wed,90.3,82.9,795.3,5.5,25.2,22,6.7,0.0,0.0
4,4,aug,tue,92.4,170.1,615.3,8.4,32.0,29,5.6,0.0,0.0
4,2,sep,fri,93.1,3.0,766.6,5.5,20.4,17,2.9,0.0,0.0
5,6,apr,wed,90.1,1.1,632.0,2.9,32.5,33,8.2,0.0,0.0
3,5,oct,fri,93.8,1.1,646.5,4.1,28.5,35,9.4,0.0,0.0
1,3,may,fri,91.0,1.1,7.9,6.9,18.4,49,3.6,0.0,0.0
5,9,sep,sun,92.4,30.6,515.5,5.8,26.1,41,6.9,0.0,0.0
3,4,feb,wed,82.6,1.1,453.5,7.4,22.9,35,4.0,0.0,16.03
3,5,sep,sat,93.7,1.1,7.9,5.0,24.0,34,6.4,0.0,8.26
9,4,sep,sun,91.7,172.4,714.9,10.9,25.0,52,9.4,0.0,17.22
1,4,sep,fri,90.1,103.9,669.7,10.9,24.7,38,7.5,0.0,5.2
8,5,mar,fri,90.3,32.7,250.1,1.1,16.1,23,6.7,0.0,0.0
9,3,sep,wed,88.7,42.8,730.2,5.9,12.0,29,2.2,0.0,55.81
4,5,aug,thu,91.6,69.3,491.8,6.7,19.7,20,5.4,0.0,0.0
5,4,sep,mon,90.3,41.9,537.2,5.9,20.6,31,2.7,0.0,0.0
5,4,sep,sun,92.5,1.1,710.2,9.3,21.1,36,4.4,0.0,9.04
3,4,mar,sun,91.2,1.1,157.6,4.6,28.6,18,7.2,0.0,0.0
4,3,aug,thu,94.5,6.1,331.7,5.3,28.2,39,6.6,0.0,8.05
3,4,sep,sat,87.3,55.6,558.7,13.2,26.0,32,5.4,0.0,0.0
8,4,jul,fri,89.9,23.4,376.9,2.7,17.0,44,5.2,0.0,1.46
8,4,sep,sun,91.7,26.8,650.5,8.4,22.7,60,4.8,0.0,4.55
4,5,sep,sat,92.8,129.3,722.5,9.0,16.6,38,5.9,0.0,10.96
4,2,sep,wed,95.1,209.3,687.8,8.5,22.8,31,6.1,0.0,8.24
8,4,aug,fri,93.3,139.5,716.7,13.5,29.0,34,9.4,0.0,37.39
6,4,aug,mon,91.1,8.1,609.4,7.7,21.6,35,6.7,0.0,5.3
8,3,jul,wed,89.6,33.5,7.9,0.0,19.7,27,5.4,0.0,0.0
4,5,aug,thu,91.5,79.4,752.7,13.3,28.1,49,6.0,0.0,9.88
8,6,sep,fri,90.5,18.6,103.0,11.3,18.1,25,6.3,0.0,60.45
4,4,jul,fri,92.0,27.4,700.4,8.5,17.4,22,4.0,0.0,1.87
6,4,sep,mon,91.8,27.0,740.8,4.6,20.7,41,6.2,0.0,0.69
4,4,mar,wed,93.7,187.6,153.0,7.3,24.7,64,8.9,0.0,10.19
7,5,may,fri,92.4,33.2,7.9,5.0,6.8,32,3.2,0.0,13.59
3,6,sep,fri,89.2,30.2,219.4,7.6,18.0,44,6.6,0.0,34.12
9,4,sep,wed,92.6,93.2,802.6,5.9,20.0,51,3.8,0.0,6.15
4,4,aug,thu,92.2,106.4,130.0,8.8,11.5,23,3.8,0.0,0.0
2,4,sep,sat,92.5,1.1,590.6,5.8,18.7,74,4.2,0.0,2.3
5,4,sep,wed,93.3,1.1,7.9,1.0,28.9,54,5.9,0.0,0.55
4,5,feb,sun,91.5,169.6,591.6,7.1,20.7,36,6.8,0.0,12.78
4,5,apr,thu,89.4,34.1,222.3,7.2,26.2,97,9.4,0.0,0.0
7,4,mar,sat,92.1,7.4,369.2,8.6,18.0,29,3.9,0.0,15.87
4,4,sep,sun,91.7,72.5,666.4,7.0,22.4,31,6.2,0.0,0.0
4,3,sep,fri,91.8,1.1,302.1,7.8,14.4,50,6.5,0.0,4.93
4,5,sep,sat,90.7,73.5,7.9,7.2,24.0,48,6.8,0.0,2.41
3,5,sep,sat,92.9,1.1,716.4,4.3,33.3,35,6.6,0.0,0.0
4,5,mar,sat,91.5,1.1,27.8,7.7,20.7,37,4.7,0.0,1071.37
3,4,aug,mon,88.7,1.1,642.4,5.0,16.3,38,5.1,0.0,67.46
3,5,jul,sat,93.6,114.1,629.4,0.0,24.2,71,3.6,0.0,0.0
4,4,oct,sat,91.5,110.8,697.9,7.2,27.9,24,3.0,0.0,4.4
5,3,sep,sat,91.4,1.1,560.1,10.4,10.6,45,5.3,0.0,0.0
4,4,jan,sat,90.5,73.1,560.2,12.9,17.6,29,5.0,0.0,11.69
3,5,sep,tue,93.6,19.7,650.6,4.5,24.3,32,6.7,0.5,0.0
2,4,sep,mon,87.7,75.5,7.9,3.3,3.8,50,5.3,0.0,1.33
4,5,sep,fri,92.4,28.4,123.6,5.3,17.7,53,6.6,0.0,12.43
9,4,aug,sun,91.4,110.5,552.1,7.6,28.7,54,7.2,0.0,11.79
4,4,aug,wed,92.2,63.9,7.9,6.0,24.4,50,9.4,0.0,0.82
8,4,sep,sun,90.5,20.7,602.6,5.4,22.0,26,5.9,0.0,0.58
4,5,aug,sat,94.8,1.1,806.3,9.0,23.3,58,5.0,0.0,16.15
5,4,nov,sat,92.6,35.4,190.6,4.4,25.6,69,9.4,0.0,0.0
7,3,sep,mon,92.5,147.2,780.0,4.5,29.0,31,7.2,0.0,13.7
6,5,sep,sun,92.0,41.3,563.2,7.8,27.8,36,5.1,0.0,60.33
9,6,sep,sat,94.0,27.1,724.1,6.5,26.0,25,6.4,0.0,5.88
3,3,jul,sun,91.0,65.5,383.2,4.8,27.4,40,3.9,0.0,4.63
4,4,aug,sat,89.0,56.5,749.6,6.8,8.1,37,5.6,0.0,0.0
5,4,sep,wed,91.1,31.3,722.6,16.3,20.0,36,7.0,0.0,12.89
9,5,sep,sun,92.1,75.5,42.2,11.5,23.6,64,5.3,0.0,7.33
3,4,mar,mon,91.3,169.6,586.7,6.1,19.2,23,4.3,0.0,3.19
4,2,aug,sat,94.0,103.6,665.3,12.5,24.4,37,9.4,0.0,8.61
3,4,mar,tue,90.8,44.1,587.2,5.6,21.7,32,5.2,0.0,2.33
7,6,jul,sun,93.1,21.5,284.0,7.9,21.1,28,9.4,0.0,0.0
4,2,sep,sat,91.3,54.2,413.6,5.8,27.8,40,7.3,0.0,5.56
7,4,sep,sun,93.3,59.2,671.6,5.1,18.4,45,2.6,0.0,4.28
4,5,aug,sun,92.3,60.4,331.0,8.4,26.7,25,3.5,0.0,9.25
4,5,oct,sun,83.6,1.1,565.3,5.8,17.5,43,5.5,0.0,0.0
9,3,sep,mon,86.5,71.5,7.9,3.7,21.1,23,6.8,0.0,0.0
5,4,aug,tue,90.9,68.7,612.3,4.7,20.2,34,5.6,0.0,3.57
4,3,aug,sun,86.2,1.6,308.0,6.7,21.0,65,6.5,0.0,0.0
4,5,sep,wed,91.6,55.0,158.1,4.7,23.5,35,7.0,0.0,0.0
5,2,sep,sun,91.1,81.3,33.6,5.9,12.7,29,3.1,0.0,6.82
2,3,aug,sat,91.9,74.7,7.9,7.3,20.4,27,9.4,0.0,12.15
4,5,sep,sat,89.0,1.1,611.2,0.0,26.9,31,4.9,0.0,6.21
4,3,aug,sat,92.6,39.8,136.6,8.5,18.9,26,6.6,0.0,6.73
4,2,sep,sun,92.7,85.7,750.8,9.4,17.0,21,5.3,0.0,13.75
4,4,feb,fri,90.9,51.3,317.1,5.8,11.1,38,2.3,0.0,0.0
4,5,sep,tue,91.2,1.1,684.5,4.3,29.2,30,4.0,0.0,17.06
4,5,aug,wed,89.8,1.1,496.0,8.4,18.8,28,6.8,0.0,2.57
2,5,sep,sun,92.2,1.1,7.9,5.8,21.7,47,6.9,0.0,7.07
2,2,aug,sun,92.8,25.5,7.9,6.9,22.1,42,5.3,0.0,0.14
9,5,aug,wed,90.6,58.0,583.1,9.2,24.8,22,5.0,0.0,0.0
4,6,aug,sat,95.0,32.0,219.3,9.4,16.5,32,3.6,0.0,7.17
4,4,may,sat,88.0,10.0,510.6,15.2,21.4,21,4.9,0.0,0.0
8,4,aug,sun,93.3,69.8,673.2,4.4,25.4,26,7.5,0.0,1.08
1,4,sep,wed,90.7,50.2,209.0,6.9,14.9,44,5.5,0.0,12.58
4,5,aug,sun,89.1,53.8,598.8,2.5,28.6,41,7.4,0.0,10.44
3,4,sep,sat,89.1,97.0,547.4,1.8,13.4,24,4.2,0.0,0.0
9,4,mar,sun,92.1,31.0,7.9,4.6,8.8,31,5.2,0.0,1.29
5,5,aug,mon,93.1,1.1,503.3,6.6,29.0,30,6.2,0.0,0.0
1,4,sep,mon,89.0,36.0,270.0,5.6,8.0,26,6.0,0.0,3.96
4,4,apr,sat,92.3,1.1,566.7,4.2,5.4,86,5.1,0.0,6.19
7,4,oct,sat,90.2,161.1,207.1,9.2,9.3,70,5.1,0.0,0.0
9,4,aug,sun,86.3,153.8,526.2,6.6,22.7,35,5.6,0.0,8.78
4,5,aug,sat,92.6,140.8,535.2,0.8,20.9,32,6.8,0.0,12.7
5,5,jun,tue,91.2,39.6,53.1,7.9,27.7,42,6.5,0.0,12.74
3,4,aug,wed,92.1,253.2,563.8,8.8,24.0,32,6.8,0.0,0.0
4,2,aug,sun,92.3,122.8,71.1,4.0,31.4,41,9.4,0.0,7.41
4,2,sep,sun,91.5,19.4,40.9,7.0,18.8,27,7.0,0.0,8.79
3,2,jul,sun,90.7,48.1,296.2,13.7,26.6,54,4.6,0.0,1.76
8,4,oct,tue,94.9,207.4,661.9,6.2,17.6,33,8.3,0.0,0.0
4,4,sep,wed,90.4,74.2,84.5,0.0,23.7,70,9.4,0.0,2.23
9,4,sep,fri,92.2,1.1,7.9,5.0,9.6,25,5.2,0.0,0.0
4,5,sep,sun,94.0,1.1,554.0,7.8,17.7,52,6.3,0.0,3.51
4,4,apr,mon,89.2,18.7,7.9,6.1,6.3,31,6.7,0.0,0.0
1,4,aug,thu,91.9,109.6,601.9,1.5,22.4,35,7.0,0.0,0.0
2,5,sep,wed,91.7,126.4,452.7,6.0,25.3,31,6.4,0.0,0.0
4,4,aug,fri,89.7,38.9,7.9,6.3,14.3,47,4.9,0.0,0.0
4,2,sep,mon,91.2,79.6,548.0,9.3,16.3,31,2.6,0.0,0.0
2,4,aug,wed,90.9,1.1,497.1,5.3,14.2,38,9.1,1.0,7.33
2,5,sep,sat,90.2,15.5,625.1,3.2,13.3,15,4.4,0.0,6.64
3,4,aug,mon,95.0,80.7,656.5,6.8,29.1,49,4.6,0.0,0.0
5,8,jul,sun,91.9,21.1,534.0,4.1,26.3,60,4.8,0.0,14.89
4,5,jul,fri,89.1,1.1,798.8,0.0,20.3,64,6.0,0.0,8.24
4,4,sep,fri,93.3,87.2,725.1,4.3,11.2,32,4.3,0.0,12.43
9,4,sep,sat,92.8,66.2,347.8,9.2,30.5,26,2.9,0.0,0.0
5,2,mar,sat,84.0,104.6,601.2,3.1,19.2,24,6.1,0.0,0.0
3,4,sep,sun,95.3,1.1,627.3,0.0,24.8,31,6.3,0.0,0.0
6,3,jul,thu,91.2,31.3,134.0,6.7,31.1,34,9.4,0.0,0.0
3,4,aug,sun,93.4,40.6,602.8,10.8,33.3,24,5.1,0.0,0.0
2,4,apr,sat,89.6,1.1,264.9,5.3,7.0,53,4.3,0.0,0.0
2,4,sep,fri,91.4,1.1,14.9,7.8,25.8,47,6.7,0.0,10.35
9,3,sep,sun,92.6,1.1,626.2,6.5,18.3,28,5.8,0.0,0.0
4,2,sep,fri,89.7,17.5,656.2,14.6,16.4,21,2.8,0.0,6.95
8,4,sep,mon,95.4,148.2,437.7,6.3,26.1,42,4.6,0.0,0.66
4,4,aug,thu,83.7,15.5,515.3,0.4,29.6,22,5.4,0.0,0.0
5,4,sep,wed,84.4,42.9,405.2,6.2,18.2,39,6.9,0.0,0.0
3,5,sep,fri,92.4,54.0,551.4,15.0,22.6,24,6.7,0.0,0.0
8,4,aug,sat,91.7,75.7,549.0,5.2,22.7,60,7.1,0.0,0.0
1,4,aug,thu,93.3,1.1,325.0,0.0,21.6,23,3.1,0.0,11.96
3,4,sep,sun,90.8,1.1,7.9,1.8,22.3,50,9.4,0.0,13.76
1,2,mar,sat,90.0,42.8,360.0,9.6,15.9,26,6.4,0.0,0.0
6,4,jul,sun,93.6,106.7,226.4,8.7,27.3,28,5.4,0.0,0.0
3,4,dec,fri,92.7,13.0,413.5,5.1,17.9,42,4.6,0.0,7.14
5,3,mar,mon,91.3,1.1,376.7,4.1,21.7,27,6.6,0.0,4.04
4,4,jul,fri,89.8,62.1,370.5,6.8,23.8,19,7.5,0.0,12.72
8,3,aug,thu,91.5,57.1,565.1,0.4,33.3,27,3.5,0.0,10.9
4,4,sep,tue,93.3,72.9,152.6,5.4,20.1,72,9.4,0.0,5.92
2,2,aug,fri,86.1,20.9,7.9,8.7,18.7,36,5.0,0.0,0.21
4,4,aug,thu,91.7,33.4,600.6,3.7,18.4,41,3.5,0.0,2.86
7,3,jul,wed,96.2,90.1,293.1,6.3,24.0,32,9.4,0.0,0.0
4,6,jul,sun,91.2,1.8,7.9,6.4,28.2,41,4.6,0.0,0.0
4,4,mar,tue,91.7,1.1,557.4,11.9,22.1,39,6.4,0.0,0.0
4,4,mar,tue,88.9,86.3,16.8,6.1,12.1,20,3.8,0.0,0.89
4,4,aug,sat,91.8,42.8,571.2,9.3,23.2,19,7.1,0.0,0.0
1,4,jun,fri,90.3,26.0,349.9,4.7,7.6,43,5.2,0.0,13.75
4,5,sep,thu,88.4,1.1,704.2,6.7,23.5,42,4.8,0.0,2.47
7,4,aug,sat,90.2,78.8,335.0,9.3,17.8,37,3.5,0.0,0.0
4,4,sep,mon,91.1,1.1,620.2,9.2,26.1,41,3.1,0.0,5.35
7,4,sep,sun,91.2,64.5,162.3,7.8,9.2,54,7.1,0.0,13.48
4,3,aug,fri,91.9,65.5,323.4,7.0,21.9,50,3.2,0.0,9.03
1,6,sep,sat,69.1,49.5,670.2,12.2,15.6,37,6.6,0.0,140.85
4,5,feb,fri,94.0,101.1,501.2,2.4,7.7,35,5.6,0.0,14.78
5,3,sep,mon,91.3,67.7,36.3,7.4,15.5,47,5.4,0.0,8.25
6,4,oct,sat,94.2,69.0,343.4,12.0,6.7,24,6.2,0.0,0.0
1,4,feb,sat,93.7,71.3,7.9,8.4,21.3,23,7.3,0.0,1.43
4,4,aug,fri,91.7,101.2,612.0,5.3,17.4,25,9.4,0.0,3.27
2,4,mar,sat,90.1,23.0,7.9,8.0,19.8,26,7.1,0.0,1.87
4,4,sep,sat,90.2,11.7,600.2,4.9,28.2,43,9.4,0.0,0.0
4,2,aug,sat,93.1,53.6,499.9,2.6,20.5,63,5.3,0.0,1.82
4,5,jul,fri,92.8,8.7,411.7,4.7,23.1,35,3.6,0.0,7.07
3,4,sep,wed,94.1,98.1,607.5,7.9,19.2,19,5.3,0.0,0.0
4,4,aug,fri,90.7,34.9,642.3,3.3,21.5,43,6.6,0.0,1.11
4,4,sep,sat,91.6,1.1,7.9,13.0,5.7,53,3.9,0.0,11.79
4,2,mar,sun,68.0,72.4,608.1,7.0,28.5,49,5.9,0.0,9.53
4,5,jul,sat,92.3,51.8,626.3,15.1,22.5,47,4.1,0.0,59.77
4,3,sep,sun,93.3,91.6,555.0,6.8,24.8,37,3.4,0.0,12.67
7,4,aug,thu,95.0,50.9,9.1,8.9,26.1,32,5.6,0.0,8.16
4,5,jul,sat,93.7,45.5,7.9,8.2,22.8,44,3.0,0.0,0.0
5,5,aug,sat,92.8,1.1,7.9,8.0,27.4,36,3.9,0.0,0.0
4,4,oct,sat,84.0,43.7,7.9,5.8,25.5,32,6.7,0.0,5.56
2,4,jul,tue,92.5,36.1,598.6,10.3,23.9,37,6.9,0.0,2.45
3,4,aug,sun,94.4,84.3,522.4,12.2,32.5,27,7.6,0.0,0.0
4,4,sep,sat,93.5,44.0,150.9,6.3,22.0,29,1.5,0.0,10.84
4,4,sep,wed,91.1,1.1,264.1,4.7,24.8,36,6.4,0.0,15.43
2,5,aug,sun,93.5,1.1,7.9,5.7,14.5,43,4.7,0.0,0.0
4,4,aug,sat,88.6,111.1,373.5,8.3,22.1,21,6.0,0.0,1.96
8,4,aug,sat,92.4,35.1,279.9,4.4,28.9,58,5.9,0.0,3.56
4,4,dec,fri,89.9,91.7,630.6,6.0,23.7,19,3.3,0.0,8.27
2,4,jul,sun,92.0,86.8,7.9,7.0,19.2,50,7.4,0.0,6.88
4,4,sep,sat,93.7,69.6,616.8,7.2,6.6,41,4.4,0.0,3.11
1,2,apr,fri,90.1,61.4,289.5,3.4,19.9,32,4.4,0.0,12.04
4,4,mar,tue,90.0,38.9,7.9,6.5,24.6,62,6.4,0.0,0.0
4,4,apr,fri,91.5,17.1,597.1,0.6,23.7,25,5.0,0.0,0.0
4,2,sep,tue,89.9,56.1,471.1,6.0,15.2,44,5.5,0.0,11.18
4,4,aug,wed,92.5,34.1,322.7,5.2,17.1,78,2.8,0.0,5.64
4,5,aug,mon,91.7,42.4,44.2,0.0,17.5,30,4.0,0.0,0.0
8,3,sep,sun,95.2,67.8,694.1,4.8,22.5,23,9.3,0.0,0.0
2,4,sep,sun,93.5,87.4,635.5,12.0,19.1,52,6.1,0.0,8.56
3,4,aug,tue,92.1,101.9,178.3,7.5,19.5,29,9.4,0.0,6.64
4,3,aug,fri,90.2,116.4,762.3,8.4,21.9,47,5.2,0.0,12.38
